#Format version: 1.0
time[ms],gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g],
39720330,-0.14,-0.84,-0.49,1.001,-0.014,0.016,
39720350,-0.07,-0.35,-0.49,1.001,-0.014,0.015,
39720370,0,-0.28,-0.28,1,-0.014,0.016,
39720390,0,-0.91,-0.14,0.999,-0.014,0.018,
39720410,-0.07,-1.75,-0.28,1.001,-0.015,0.015,
39720420,0.14,-1.4,-0.35,1.001,-0.014,0.015,
39720440,0.07,-0.84,-0.49,1,-0.014,0.016,
39720460,-0.07,-0.77,-0.63,1.001,-0.014,0.015,
39720480,0.07,-1.12,-0.35,1.002,-0.014,0.015,
39720500,0.21,-1.4,-0.21,1.002,-0.013,0.015,
39720520,0,-1.33,-0.28,1.001,-0.014,0.015,
39720540,0,-1.19,-0.28,1.001,-0.015,0.014,
39720560,0,-1.19,-0.28,1.001,-0.015,0.014,
39720580,0.14,-0.98,-0.14,1,-0.015,0.015,
39720600,0.07,-1.12,-0.28,1,-0.014,0.016,
39720620,-0.07,-1.12,-0.49,1.001,-0.014,0.015,
39720640,-0.14,-1.19,-0.56,1.002,-0.014,0.013,
39720660,0.14,-1.33,-0.35,1.001,-0.014,0.014,
39720670,0.21,-1.96,-0.07,1.001,-0.014,0.014,
39720690,0.28,-2.24,-0.07,1,-0.015,0.014,
39720710,0.28,-2.31,-0.28,1.001,-0.013,0.015,
39720730,-0.14,-2.59,-0.35,0.999,-0.016,0.012,
39720750,0.14,-3.29,-0.7,1,-0.014,0.013,
39720770,-0.21,-3.43,-0.63,1.003,-0.012,0.011,
39720790,-0.49,-3.22,-0.21,1.002,-0.013,0.01,
39720810,-0.35,-3.01,-0.14,1.003,-0.015,0.007,
39720830,0.21,-1.89,-0.14,1.002,-0.013,0.007,
39720850,0.35,-1.12,-0.07,1,-0.014,0.01,
39720870,0.07,-1.61,-0.14,1,-0.015,0.008,
39720890,0.14,-1.75,-0.49,1.002,-0.014,0.007,
39720910,0,-1.75,-0.84,1,-0.014,0.008,
