#Format version: 1.0,,,,,,
time[ms],gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g]
40055230,18.76,-1.47,-1.4,1.001,0.005,-0.028
40055250,35.28,-2.87,-4.83,1,-0.012,-0.017
40055270,47.53,-6.37,-9.24,1.007,0.014,-0.048
40055290,47.11,-3.22,-8.61,1.001,0.009,-0.045
40055310,53.34,-2.73,-9.45,0.998,0.016,-0.022
40055330,56.91,-5.95,-9.1,1.003,0.014,-0.035
40055350,56.91,-5.95,-9.1,1.003,0.014,-0.035
40055370,54.39,-5.95,-8.89,1.003,0.024,-0.046
40055390,42.35,-3.92,-6.65,0.997,0.027,-0.054
40055410,33.18,-1.61,-4.34,0.991,0.027,-0.043
40055420,36.05,-1.82,-3.5,1.001,0.02,-0.046
40055440,35.63,-2.52,-3.99,0.998,0.022,-0.05
40055460,37.38,-2.38,-4.41,1,0.017,-0.044
40055480,45.43,-4.06,-6.09,0.999,0.023,-0.043
40055500,46.06,-4.69,-5.39,1,0.034,-0.056
40055520,45.92,-3.36,-3.99,1.003,0.017,-0.049
40055540,44.1,-3.57,-5.25,1.001,0.025,-0.051
40055560,43.82,-3.71,-5.6,0.999,0.021,-0.057
40055580,45.64,-3.5,-6.44,1.002,0.024,-0.063
40055600,48.44,-2.94,-7.49,0.994,0.028,-0.073
40055620,44.66,0.42,-6.79,0.996,0.035,-0.053
40055640,46.69,0.49,-6.02,0.992,0.022,-0.059
40055660,52.78,-0.35,-8.26,1.004,0.039,-0.036
40055670,57.96,-5.74,-7.28,0.999,0.03,-0.066
40055690,58.31,-4.83,-8.12,1.001,0.034,-0.075
40055710,47.11,-1.26,-7,0.989,0.04,-0.088
40055730,42.77,3.29,-6.79,1.005,0.035,-0.049
40055750,42.21,-0.91,-6.09,0.991,0.046,-0.058
40055770,40.25,-1.75,-3.92,1,0.035,-0.076
40055790,32.48,0.7,-3.43,1.002,0.042,-0.075
40055810,26.67,2.45,-2.8,0.992,0.039,-0.056
40055830,29.82,1.05,-3.5,0.988,0.035,-0.069
40055850,34.65,2.1,-5.32,1.006,0.042,-0.052
40055870,35.98,-1.54,-3.85,0.997,0.042,-0.059
40055890,41.79,-2.73,-3.57,1.001,0.041,-0.079
40055910,41.3,0.35,-4.62,1.001,0.032,-0.069
40055920,41.72,0.84,-6.58,0.982,0.04,-0.073
40055940,44.38,2.66,-7.21,1.008,0.054,-0.049
40055960,45.08,-1.4,-4.34,0.996,0.045,-0.067
40055980,43.33,-0.07,-3.5,0.998,0.04,-0.086
40056000,43.05,3.15,-5.04,1.008,0.034,-0.067
40056020,47.81,3.78,-8.89,1.014,0.033,-0.081
40056040,62.58,2.24,-12.04,0.995,0.061,-0.034
40056060,60.76,1.12,-9.38,0.999,0.056,-0.094
40056080,63.35,2.8,-7.49,0.985,0.055,-0.032
40056100,63.35,2.8,-7.49,0.985,0.055,-0.032
40056120,74.27,-2.87,-6.44,0.987,0.058,-0.057
40056140,80.22,-5.74,-4.76,0.992,0.047,-0.085
40056160,77.98,-4.41,-3.85,0.993,0.051,-0.086
40056170,60.06,-6.86,-0.56,0.984,0.052,-0.08
40056190,54.95,-5.81,-2.59,1.002,0.023,-0.1
40056210,48.37,0.07,-5.46,0.99,0.055,-0.106
40056230,51.17,0.56,-2.45,0.997,0.052,-0.054
40056250,38.64,-0.77,-0.56,1.001,0.037,-0.091
40056270,27.09,1.47,-0.91,0.998,0.044,-0.082
40056290,23.17,0.91,-0.84,0.999,0.042,-0.085
40056310,29.19,0.49,-1.82,0.999,0.044,-0.093
40056330,37.8,1.96,-2.03,1.001,0.035,-0.1
40056350,49.21,2.31,-5.18,1.004,0.042,-0.071
40056370,32.13,4.69,-4.13,0.993,0.045,-0.093
40056390,33.32,6.72,-3.78,0.989,0.049,-0.072
40056410,47.04,4.83,-3.43,0.993,0.05,-0.068
40056420,44.52,2.66,-1.61,1.004,0.024,-0.105
40056440,29.26,7.35,-3.92,0.999,0.042,-0.082
40056460,25.06,8.4,-4.2,0.993,0.041,-0.06
40056480,30.66,5.04,-5.18,0.996,0.053,-0.086
40056500,49.28,1.4,-2.8,0.99,0.045,-0.064
40056520,40.53,5.6,-2.1,1,0.035,-0.079
40056540,39.83,6.16,-2.94,1.001,0.047,-0.063
40056560,49.98,0.07,-1.96,0.998,0.027,-0.068
40056580,30.31,4.13,-4.76,1,0.038,-0.078
40056600,21.28,6.09,-5.74,0.992,0.04,-0.057
40056620,19.67,3.85,-5.11,0.991,0.055,-0.06
40056640,24.43,1.33,-3.15,0.996,0.048,-0.056
40056650,32.69,-1.05,-2.94,0.993,0.042,-0.083
40056670,45.99,2.1,-2.1,0.997,0.068,-0.056
40056690,46.62,1.4,-0.28,1.007,0.022,-0.101
40056710,49.84,2.31,-2.8,0.995,0.046,-0.038
40056730,43.68,1.12,-2.31,0.995,0.045,-0.058
40056750,49,-2.17,-0.63,0.994,0.063,-0.047
40056770,63.42,-10.5,3.85,0.994,0.029,-0.077
40056790,45.64,-3.64,1.26,0.999,0.02,-0.097
40056810,39.13,0.49,-0.98,0.992,0.055,-0.046
40056830,48.09,-5.88,3.29,0.993,0.043,-0.099
40056850,48.09,-5.88,3.29,0.993,0.043,-0.099
40056870,57.4,-7.21,6.93,1,0.015,-0.07
40056880,34.3,-1.82,2.38,1.002,-0.005,-0.089
40056900,27.44,0.42,-3.15,1.001,0.043,-0.068
40056920,23.38,-2.31,-0.14,1.001,0.009,-0.078
40056940,18.2,-1.82,-3.78,0.999,0.023,-0.087
40056960,19.6,-0.84,-3.36,0.988,0.048,-0.084
40056980,31.78,-0.28,0.35,0.994,0.038,-0.073
40057000,38.36,-2.17,2.73,0.995,0,-0.105
40057020,26.67,2.66,-2.87,0.999,0.014,-0.076
40057040,23.38,1.89,-4.48,0.997,0.035,-0.081
