#Format version: 1.0,,,,,,
time[ms],gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g]
40079730,-67.48,-0.14,1.33,0.976,-0.01,-0.08
40079750,-60.13,-1.54,5.6,0.985,-0.01,-0.071
40079770,-50.82,-3.43,6.65,0.999,-0.048,-0.09
40079790,-52.57,-2.59,0.42,0.996,-0.038,-0.101
40079810,-50.96,-0.49,-2.1,0.995,-0.011,-0.084
40079820,-45.01,-1.61,1.26,0.996,-0.016,-0.093
40079840,-44.03,-0.21,2.87,0.997,-0.022,-0.099
40079860,-42.91,1.4,2.52,0.995,-0.021,-0.091
40079880,-42.91,1.4,2.52,0.995,-0.021,-0.091
40079900,-34.72,0.42,1.75,0.997,-0.025,-0.084
40079920,-26.18,-1.19,-0.28,0.998,-0.021,-0.098
40079940,-24.43,0.07,-0.07,0.993,-0.01,-0.089
40079960,-19.32,-0.56,2.03,0.994,-0.013,-0.083
40079980,-13.02,-2.03,1.89,0.995,-0.023,-0.1
40080000,-10.78,-0.84,1.12,0.996,-0.013,-0.087
40080020,-14.28,-1.19,2.03,1.001,-0.028,-0.108
40080040,-23.8,2.24,0.56,0.995,-0.009,-0.095
40080050,-29.68,2.52,3.43,0.995,-0.008,-0.093
40080070,-36.12,2.24,6.79,0.995,-0.012,-0.085
40080090,-36.05,0.77,8.47,0.997,-0.026,-0.087
40080110,-33.6,0,7.28,1.002,-0.035,-0.097
40080130,-36.96,1.54,4.34,1.005,-0.033,-0.106
40080150,-44.45,6.37,2.52,0.992,-0.01,-0.088
40080170,-38.29,5.46,5.32,0.993,-0.019,-0.061
40080190,-34.09,-0.21,6.16,1.001,-0.027,-0.093
40080210,-45.36,3.08,5.67,0.998,-0.021,-0.109
40080230,-49.91,8.19,6.72,0.994,-0.026,-0.064
40080250,-40.18,3.64,5.67,0.998,-0.037,-0.072
40080270,-34.3,2.31,4.13,1.001,-0.026,-0.09
40080280,-27.86,4.9,3.99,0.997,-0.043,-0.071
40080300,-15.75,2.17,0.63,0.998,-0.031,-0.065
40080320,-8.54,-0.35,-0.28,0.999,-0.028,-0.084
40080340,-8.4,1.12,-0.35,0.994,-0.022,-0.074
40080360,-10.92,0.28,1.61,0.999,-0.019,-0.085
40080380,-18.62,3.08,3.36,0.998,-0.026,-0.078
40080400,-26.11,4.9,4.06,1,-0.03,-0.077
40080420,-31.29,5.74,3.99,0.996,-0.026,-0.07
40080440,-28.07,5.04,4.69,0.998,-0.033,-0.067
