#Format version: 1.0,,,,,,
time[ms],gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g]
40095970,-20.09,-4.06,0.77,1.002,-0.024,0.004
40095990,-28.98,-5.95,2.31,1.016,-0.031,0.017
40096010,-37.59,-9.87,7.14,0.99,-0.037,-0.024
40096030,-39.06,-7.49,3.36,1.001,-0.017,-0.022
40096050,-39.9,-5.88,4.34,1,-0.043,-0.023
40096070,-36.75,-4.13,2.1,0.998,-0.034,-0.037
40096080,-35,-0.07,1.4,1,-0.025,-0.029
40096100,-34.09,1.96,2.24,1.001,-0.042,-0.023
40096120,-35.63,3.5,1.12,0.999,-0.03,-0.023
40096140,-37.1,4.83,1.33,1.001,-0.036,-0.007
40096160,-41.09,3.57,1.47,1.002,-0.035,-0.01
40096180,-42.91,3.08,1.96,1,-0.034,-0.016
40096200,-46.06,3.78,1.96,1.002,-0.038,-0.005
40096220,-52.36,2.87,2.03,1.001,-0.037,-0.005
40096240,-52.36,2.87,2.03,1.001,-0.037,-0.005
40096260,-58.8,1.96,2.31,1.003,-0.033,0.004
40096280,-63.28,-0.98,2.52,1.003,-0.046,-0.005
40096300,-59.36,-1.75,0.77,1,-0.033,-0.019
40096320,-54.53,-0.42,0.35,1.001,-0.038,-0.015
40096330,-53.62,0.56,-0.35,1.001,-0.034,-0.012
40096350,-55.93,0.84,-0.14,0.998,-0.03,-0.015
40096370,-52.92,1.12,0.84,0.999,-0.029,-0.004
40096390,-53.06,-1.12,2.1,1.002,-0.029,0.006
40096410,-55.3,-4.55,3.5,1.001,-0.039,-0.021
40096430,-52.36,-3.29,2.87,0.998,-0.031,-0.022
40096450,-50.68,-2.8,3.71,1,-0.026,-0.002
40096470,-51.66,-4.97,5.46,0.998,-0.047,-0.029
40096490,-44.94,-2.94,3.99,1,-0.041,-0.043
40096510,-40.81,0.7,3.43,1.001,-0.047,-0.015
40096530,-45.36,0.28,2.94,1,-0.041,-0.021
40096550,-51.94,0.84,3.5,1,-0.043,-0.021
40096570,-55.79,2.17,3.71,0.999,-0.044,-0.032
40096580,-59.71,4.13,3.99,1,-0.044,-0.012
40096600,-57.68,3.08,3.85,1.002,-0.046,-0.026
40096620,-54.67,4.69,3.29,1,-0.051,-0.028
40096640,-55.02,7.35,3.01,0.999,-0.035,-0.018
40096660,-50.47,7.42,4.48,1,-0.054,-0.006
40096680,-46.48,5.53,3.01,1,-0.051,-0.005
40096700,-40.32,3.99,2.59,1.001,-0.046,-0.015
40096720,-40.25,5.11,3.22,1,-0.054,-0.022
40096740,-43.26,7.91,3.01,1,-0.049,-0.005
40096760,-44.87,7.7,3.64,0.999,-0.055,0.004
40096780,-42.07,5.6,2.59,1,-0.063,0
40096800,-37.94,4.41,0.49,0.999,-0.054,0.009
40096820,-34.58,1.89,0.49,1.001,-0.051,0.003
40096830,-39.2,1.12,1.12,0.999,-0.055,-0.009
40096850,-41.58,2.87,1.33,0.997,-0.046,-0.009
40096870,-41.3,3.71,2.94,1,-0.056,0.012
40096890,-44.52,1.68,2.1,1.002,-0.076,0.006
40096910,-48.3,0.56,-0.7,1.002,-0.051,-0.001
40096930,-55.3,1.75,0.42,0.998,-0.051,-0.01
40096950,-59.64,3.99,1.82,1.001,-0.052,-0.002
40096970,-67.27,4.97,2.66,1,-0.062,-0.004
40096990,-67.27,4.97,2.66,1,-0.062,-0.004
40097010,-72.8,5.67,2.1,0.998,-0.056,0.018
40097030,-66.92,2.52,2.38,1,-0.051,-0.012
40097050,-70.07,5.53,4.13,0.998,-0.053,-0.011
40097070,-72.03,8.26,5.39,0.998,-0.062,0.001
40097080,-73.15,8.61,5.6,1,-0.062,0.021
40097100,-74.9,5.46,6.09,1,-0.073,0.017
40097120,-78.75,3.43,4.55,0.998,-0.08,0.007
40097140,-73.15,3.29,1.68,0.997,-0.063,0.003
40097160,-65.52,3.36,1.26,0.998,-0.071,0.011
40097180,-64.75,2.24,0.7,0.999,-0.077,0.017
40097200,-63.42,-0.14,-1.19,0.996,-0.075,0.017
