#Format version: 1.0,,,,,,
time[ms],gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g]
39986690,25.55,-1.89,0.07,1.005,0.01,-0.012
39986710,47.46,-3.5,-3.57,1.002,-0.012,0.004
39986730,80.78,-8.96,-10.22,1.005,0.025,-0.018
39986750,96.32,-9.24,-10.08,1,0.015,-0.025
39986770,109.69,-8.89,-10.5,1.001,0.031,-0.036
39986790,109.34,-6.93,-8.68,0.998,0.031,-0.05
39986810,97.44,-4.97,-6.72,0.999,0.027,-0.048
39986830,81.62,-4.27,-5.18,0.992,0.033,-0.059
39986850,64.4,-1.68,-2.87,0.997,0.028,-0.049
39986870,44.8,0,-1.61,1.003,0.022,-0.05
39986890,36.68,0.84,-2.17,0.999,0.023,-0.034
39986910,39.48,-0.63,-3.01,1.003,0.02,-0.046
39986920,42.14,0.35,-4.41,1.003,0.03,-0.042
39986940,50.75,0.35,-4.13,0.998,0.024,-0.037
39986960,63.98,-0.49,-5.04,1.001,0.024,-0.038
39986980,63.98,-0.49,-5.04,1.001,0.027,-0.038
39987000,79.31,-1.47,-6.44,0.999,0.031,-0.047
39987020,89.04,-0.77,-5.67,1.002,0.032,-0.057
39987040,96.39,0.84,-4.9,0.997,0.033,-0.038
39987060,100.8,0.07,-4.34,1,0.036,-0.068
39987080,125.86,-3.64,-2.17,0.991,0.048,-0.001
39987100,123.55,-6.93,1.19,1,-0.003,-0.099
39987120,86.03,4.83,-2.1,1.002,0.015,-0.05
39987140,82.74,2.38,-1.61,0.99,0.039,-0.032
39987160,79.24,-1.26,1.75,1.001,0.006,-0.074
39987170,56.56,4.41,-0.21,1.002,0.001,-0.067
39987190,48.58,7.07,-1.89,0.997,0.03,-0.037
39987210,57.61,4.83,0.35,1.001,0.028,-0.03
39987230,68.11,1.4,2.03,1.005,0,-0.069
39987250,63.42,3.99,-0.42,0.998,0.002,-0.049
39987270,54.25,6.65,-1.89,1,0.016,-0.041
39987290,57.75,5.39,-0.98,1.001,0.018,-0.039
39987310,65.17,3.08,0.7,0.996,0.003,-0.051
39987330,52.99,7.91,-0.84,1.003,0,-0.048
39987350,59.64,7.98,-1.68,0.999,0.024,-0.013
39987370,59.15,3.99,0.28,0.999,-0.012,-0.056
39987390,53.34,8.19,-1.96,0.999,0.026,-0.017
39987410,56.42,5.04,0.63,1.001,-0.01,-0.034
39987420,48.23,5.32,-2.1,1.004,0,-0.034
39987440,48.72,5.95,-2.66,0.996,0.022,-0.024
39987460,66.22,3.29,0.77,0.997,0.015,-0.008
39987480,62.09,2.73,1.12,0.998,-0.005,-0.056
39987500,60.83,6.86,0.35,0.996,0.007,-0.011
39987520,58.03,6.65,0.84,1.004,-0.002,-0.01
39987540,62.37,4.13,0.14,1.003,0.007,-0.011
39987560,70.28,0.07,1.33,1,-0.004,-0.019
39987580,57.61,3.01,-0.07,1.006,-0.014,-0.027
39987600,53.06,4.69,-1.82,0.996,0.013,-0.015
39987620,65.94,2.52,1.12,1.005,-0.009,-0.009
39987640,62.72,2.87,-0.7,1,-0.002,-0.025
39987660,55.02,4.06,-0.07,1.004,-0.011,-0.004
39987670,47.25,2.8,-1.75,1,-0.013,-0.013
39987690,39.06,3.64,-3.29,0.997,0.008,-0.012
39987710,39.06,3.64,-3.29,0.997,0.008,-0.012
39987730,34.02,4.76,-1.4,1.007,-0.01,-0.007
39987750,32.97,3.85,-2.8,1.002,-0.002,-0.007
39987770,36.96,3.64,-3.15,0.997,0.013,0.002
39987790,45.71,1.33,-1.19,1,0.004,0.003
39987810,51.66,-0.98,0.28,1.004,-0.004,0.001
39987830,45.36,-1.33,-1.26,1.005,-0.016,-0.014
39987850,40.18,0.63,-3.71,0.999,0.002,-0.002
39987870,41.79,0.14,-3.57,0.996,0.006,-0.004
39987890,46.83,-0.35,-2.03,1.003,0.012,0.003
39987910,52.64,-2.38,-0.84,1.002,-0.004,-0.002
39987920,55.51,-3.36,-1.54,1,0.015,0.001
39987940,61.81,-5.95,0.7,1.002,-0.002,0
39987960,63.42,-7.49,0.07,0.999,-0.003,-0.013
39987980,55.79,-6.58,0.14,0.998,-0.008,-0.02
39988000,46.76,-4.83,-0.35,1.001,-0.005,-0.015
39988020,42.56,-4.2,-0.7,1.002,-0.001,-0.012
39988040,43.75,-5.04,-1.05,1.001,0,-0.018
39988060,44.94,-5.32,-1.05,1.002,-0.001,-0.017
39988080,45.01,-6.02,-0.63,1,0,-0.018
39988100,43.26,-6.02,-0.21,1,-0.02,-0.036
39988120,30.1,-1.26,-3.22,0.997,0,-0.032
39988140,29.89,0.63,-2.94,0.996,0.006,-0.028
39988160,38.5,0.35,-1.19,1.001,0.009,-0.018
39988170,45.5,-1.96,0.07,1.002,-0.002,-0.02
39988190,45.64,-3.01,0,1.001,-0.004,-0.019
39988210,42.21,-3.64,0.21,1.002,-0.006,-0.01
39988230,38.01,-6.02,0.21,0.999,-0.004,-0.03
39988250,27.51,-4.55,0.21,0.999,-0.018,-0.042
