#Format version: 1.0
time[ms],gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g],
39752390,0.21,-0.35,-0.49,1.001,-0.001,0,
39752410,-0.07,-0.21,-0.56,1.001,-0.002,0,
39752430,-0.07,-0.35,-0.42,1.002,-0.002,0,
39752450,0.21,-0.35,-0.21,1.001,-0.002,0,
39752470,0.49,-0.63,-0.14,1,-0.002,0.001,
39752480,0.28,-1.47,-0.14,0.999,-0.003,0.001,
39752500,-0.14,-1.96,-0.42,1.002,-0.002,-0.001,
39752520,-0.14,-1.96,-0.42,1.002,-0.002,-0.001,
39752540,0.14,-1.26,-0.42,1.002,-0.003,-0.002,
39752560,0.42,-0.91,-0.28,1.001,-0.002,0,
39752580,0.35,-1.19,-0.28,1.001,-0.002,0,
39752600,0.14,-1.4,-0.35,1.001,-0.002,0,
39752620,-0.14,-1.61,-0.49,1.002,-0.002,-0.001,
39752640,-0.14,-1.54,-0.49,1.002,-0.002,-0.002,
39752660,0.14,-0.7,-0.28,1.002,-0.002,-0.002,
39752680,0.21,-0.84,0,1,-0.003,0,
39752700,-0.21,-1.89,0,1.001,-0.003,-0.002,
39752710,-0.07,-2.03,-0.35,1.001,-0.003,-0.002,
39752730,0.14,-1.61,-0.49,1.003,-0.001,-0.003,
39752750,0.14,-1.19,-0.21,1.001,-0.002,-0.002,
39752770,0,-1.19,-0.21,1,-0.003,-0.002,
39752790,-0.21,-1.82,-0.28,1.002,-0.004,-0.003,
39752810,-0.14,-1.96,-0.42,1.002,-0.001,-0.004,
39752830,-0.07,-1.54,-0.49,1.001,-0.001,-0.003,
39752850,-0.14,-1.19,-0.56,1.001,-0.002,-0.002,
39752870,-0.56,-1.68,-0.63,1.001,-0.002,-0.004,
39752890,-0.56,-1.82,-0.63,1.002,-0.002,-0.005,
39752910,-0.42,-1.47,-0.63,1.001,-0.002,-0.004,
39752930,-0.49,-1.89,-0.63,1,-0.002,-0.004,
39752940,-0.77,-3.01,-0.7,1.001,-0.002,-0.005,
39752960,-0.91,-3.57,-0.63,1.002,-0.003,-0.01,
39752980,0.14,-2.45,-0.84,1.001,-0.003,-0.008,
39753000,0.49,-1.05,-1.33,1.002,0,-0.008,
39753020,0.63,-0.07,-1.05,1.002,0,-0.007,
39753040,0.63,0.42,-0.98,1.001,-0.003,-0.007,
39753060,0.56,0.42,-1.26,1.001,0.001,-0.006,
39753080,0.35,0.21,-0.84,1,0,-0.005,
39753100,0,-0.35,-0.77,0.998,0,-0.004,
39753120,-0.21,-0.7,-0.77,1.002,0,-0.006,
39753140,-0.21,-0.35,-0.84,1.001,0,-0.006,
39753160,-0.21,-0.56,-1.05,1,0,-0.005,
39753170,-0.07,-0.84,-1.12,1.002,0,-0.006,
39753190,0.07,-0.49,-1.19,1,0.001,-0.005,
39753210,-0.07,-0.84,-1.05,0.999,0.001,-0.005,
39753230,-0.14,-1.33,-0.91,1.001,0.001,-0.006,
39753250,-0.07,-1.33,-0.7,1.001,0.001,-0.007,
39753270,-0.07,-1.33,-0.7,1.001,0.001,-0.007,
39753290,0.14,-1.19,-0.7,1.001,0.001,-0.006,
39753310,0.28,-0.91,-0.56,1.002,0.002,-0.006,
39753330,0.21,-0.49,-0.42,1.003,0.002,-0.006,
39753350,0.14,-0.21,-0.07,1.001,0.002,-0.004,
39753370,-0.14,-1.26,0.14,1,0.001,-0.004,
39753390,-0.42,-2.31,0.14,1,0.001,-0.005,
39753410,-0.49,-2.17,0,1.003,0.001,-0.008,
39753420,-0.07,-1.19,0.07,1.001,0.001,-0.007,
39753440,-0.21,-1.05,0.07,0.999,0.001,-0.006,
39753460,-0.28,-1.4,0.21,1.001,0,-0.008,
39753480,-0.14,-1.54,0.42,1.003,0,-0.008,
39753500,-0.07,-1.75,0,1,0,-0.007,
39753520,-0.21,-1.61,-0.28,1.001,0,-0.009,
39753540,-0.07,-0.56,-0.35,1.002,0.001,-0.008,
39753560,-0.14,-0.21,-0.07,1.001,0.001,-0.007,
39753580,-0.14,-0.42,0.28,1.001,0,-0.008,
39753600,0.07,-0.77,0.56,1.001,-0.001,-0.008,
39753620,0.07,-0.98,0.21,1,0,-0.007,
39753640,-0.07,-0.98,-0.14,1.002,0,-0.007,
39753660,-0.07,-0.49,-0.07,1.002,0,-0.009,
39753670,0.07,0.21,0.49,0.999,0.002,-0.008,
39753690,0.07,0.42,0.91,1.002,-0.002,-0.006,
39753710,-0.07,0.42,0.49,1.001,-0.001,-0.007,
39753730,0.07,0.14,0.07,1.001,-0.001,-0.005,
39753750,0,-0.49,-0.14,1.001,-0.001,-0.008,
39753770,0.35,-0.35,0.14,1.001,-0.001,-0.007,
39753790,0.42,0.14,0.14,1.002,0,-0.005,
39753810,0.07,0.14,0.07,1,-0.002,-0.005,
39753830,-0.07,-0.42,-0.28,1.001,-0.001,-0.005,
39753850,0,-0.7,-0.35,1.001,-0.001,-0.006,
39753870,0.28,-0.91,-0.07,1.002,-0.001,-0.005,
39753890,0.42,-1.05,0.14,1,-0.002,-0.006,
39753910,0.42,-1.05,0,1,-0.002,-0.005,
39753920,0.21,-1.33,-0.28,1.001,-0.001,-0.006,
39753940,0.07,-1.12,-0.42,1.001,-0.001,-0.006,
39753960,0.07,-1.19,-0.56,1.001,-0.002,-0.006,
