#Format version: 1.0,,,,,,
time[ms],gyroX[dps],gyroY[dps],gyroZ[dps],accX[g],accY[g],accZ[g]
40129990,-22.12,-1.19,2.03,1.001,0.01,0.009
40130010,-28.42,-0.91,1.89,0.999,0.012,-0.006
40130030,-24.15,0.98,2.38,0.999,0.006,-0.003
40130050,-23.1,2.1,1.26,1.001,0,0.017
40130070,-23.31,0.07,0.63,1.003,0.023,0.022
40130080,-26.95,-2.8,2.59,1,0,0.008
40130100,-24.29,-3.57,2.45,1.005,0.01,0.017
40130120,-31.57,-5.88,5.46,1.002,-0.007,0.005
40130140,-31.08,-6.44,3.22,0.998,0.004,0
40130160,-37.87,-3.36,3.08,0.998,0.005,-0.015
40130180,-39.83,-0.56,3.78,1.002,0.002,0.016
40130200,-35.49,-2.73,3.5,0.999,0,-0.011
40130220,-32.41,-1.96,2.59,1.003,-0.006,0.021
40130240,-30.24,-4.97,1.89,1.001,-0.001,0
40130260,-28.49,-6.02,0.84,0.999,0.002,0.007
40130280,-28.84,-6.58,2.03,1.001,0.013,-0.003
40130300,-30.59,-6.37,4.2,1.001,-0.023,-0.004
40130320,-29.82,-7.07,2.31,1.001,0.004,-0.002
40130330,-35.07,-7.49,4.2,1,-0.01,-0.01
40130350,-35.07,-7,3.57,1.001,-0.003,-0.011
40130370,-36.82,-7.7,4.2,1.002,-0.015,-0.006
40130390,-38.08,-8.12,3.36,0.999,-0.009,-0.032
40130410,-37.45,-4.69,3.01,1,-0.008,-0.027
40130430,-37.45,-4.69,3.01,1,-0.008,-0.027
40130450,-35.56,-2.03,2.94,1.001,-0.016,-0.027
40130470,-37.52,0.21,2.24,1,-0.016,-0.025
40130490,-38.43,1.33,1.4,1.002,-0.011,-0.01
40130510,-38.64,0.21,1.12,1,-0.013,-0.004
40130530,-40.39,-2.31,1.12,1,-0.004,-0.006
40130550,-40.11,-4.06,1.89,1.002,-0.023,-0.03
40130570,-36.12,-1.19,0.56,1,-0.01,-0.031
40130580,-33.88,0.28,-0.14,1.004,-0.035,-0.002
40130600,-38.43,-2.31,-2.8,1,-0.005,-0.014
40130620,-38.29,-3.22,-1.54,0.999,0.001,-0.005
40130640,-36.4,-5.81,-0.35,0.999,-0.013,-0.013
40130660,-36.33,-8.19,-0.14,0.998,0.008,-0.017
40130680,-31.43,-7.14,2.31,0.999,-0.015,-0.06
40130700,-30.45,-1.12,1.19,1.004,-0.021,-0.032
40130720,-34.86,0.63,0.28,1.003,-0.018,-0.034
40130740,-35.21,2.45,-0.84,0.999,-0.005,-0.028
40130760,-30.73,3.08,-0.56,1.002,-0.013,-0.016
40130780,-29.61,1.61,-1.19,1.002,-0.012,-0.018
40130800,-31.36,1.4,-1.54,1.001,-0.01,-0.02
40130820,-33.11,1.68,-1.89,1,-0.013,-0.02
40130830,-37.87,1.19,-2.52,0.999,-0.009,-0.007
40130850,-41.58,0.28,-2.17,1.001,0.003,-0.034
40130870,-40.39,2.87,-1.19,1.004,-0.02,-0.016
40130890,-44.03,3.36,-3.22,0.999,-0.001,-0.029
40130910,-42.84,5.88,-3.15,0.998,0.006,-0.013
40130930,-40.18,5.46,-1.54,0.999,0.005,-0.008
40130950,-42.28,4.97,0.07,1,0.005,-0.007
40130970,-42.56,4.41,0.56,1,-0.007,-0.007
40130990,-38.85,3.36,-0.14,1.001,0,0.002
40131010,-41.09,1.54,0.42,1.004,-0.006,-0.001
40131030,-49.21,1.75,0.35,1,0.008,-0.011
40131050,-48.16,2.59,1.75,1,-0.002,0.001
40131070,-45.08,1.33,1.47,0.999,-0.006,0.01
40131080,-43.12,-1.61,0.35,1.002,-0.007,0.01
40131100,-43.54,-3.64,-1.05,1.004,-0.007,-0.014
40131120,-47.53,-1.12,-1.26,0.998,0.006,-0.009
40131140,-47.74,-0.35,0.7,0.998,0.011,0.005
40131160,-46.9,-2.31,2.31,1.002,0.011,0.006
40131180,-46.9,-2.31,2.31,1.002,-0.01,0.006
40131200,-52.29,-4.13,0.98,1.002,-0.011,0.001
40131220,-53.97,-5.67,-0.35,0.999,0.004,0
40131240,-52.57,-6.58,0.98,1,0.006,-0.012
40131260,-56.98,-5.11,3.01,1.002,0,-0.011
40131280,-59.08,-5.04,4.2,1,0.01,-0.003
40131300,-54.6,-6.51,6.79,1,0.005,-0.017
40131320,-52.36,-5.32,8.75,1,-0.008,-0.02
40131330,-56.63,-3.64,9.73,1.001,-0.002,-0.022
40131350,-61.46,-1.82,10.85,1.001,-0.025,-0.021
40131370,-64.4,-0.07,9.1,1.006,-0.024,-0.03
40131390,-67.55,2.31,7.49,1.002,-0.024,-0.016
40131410,-67.27,2.8,6.79,1,-0.024,-0.011
40131430,-63.49,1.54,5.53,0.999,-0.03,-0.007
40131450,-59.85,0.28,4.34,0.999,-0.023,-0.005
40131470,-58.52,-1.05,3.71,1.003,-0.036,-0.023
40131490,-64.82,1.19,1.68,1,-0.029,-0.008
40131510,-61.32,-0.07,1.26,1,-0.02,-0.012
40131530,-63.07,0,2.03,1,-0.028,-0.016
40131550,-61.25,0.56,1.96,1,-0.02,-0.018
40131570,-57.05,1.47,2.87,1.002,-0.026,-0.014
40131580,-57.82,1.82,2.87,1.001,-0.026,-0.007
40131600,-64.75,0.77,3.64,0.998,-0.027,0.005
40131620,-65.87,-3.29,3.64,1,-0.027,0.005
40131640,-64.96,-7.21,3.78,1.001,-0.029,-0.016
40131660,-70.28,-6.65,3.78,1,-0.032,-0.011
40131680,-70.49,-8.61,3.57,1.001,-0.022,-0.014
40131700,-64.26,-9.87,5.32,1,-0.021,-0.038
40131720,-55.65,-7.84,7.28,1.001,-0.027,-0.031
40131740,-50.26,-7.42,7.49,1,-0.04,-0.033
40131760,-53.9,-6.37,7.07,1,-0.034,-0.042
40131780,-57.68,-4.27,7.63,1,-0.045,-0.041
40131800,-55.93,-3.08,7.35,0.999,-0.031,-0.044
40131810,-55.44,-1.75,9.24,1,-0.037,-0.05
40131830,-60.69,1.19,10.64,1.001,-0.058,-0.053
40131850,-66.22,4.06,8.54,0.999,-0.072,-0.025
40131870,-57.26,0.84,3.99,1.002,-0.056,-0.026
40131890,-53.34,-1.12,2.31,1.002,-0.056,-0.06
40131910,-53.34,-1.12,2.31,1.002,-0.056,-0.06
40131930,-56.14,3.57,1.19,0.996,-0.063,-0.038
40131950,-52.08,3.64,-1.33,0.998,-0.05,-0.017
40131970,-50.12,0.63,-1.75,0.998,-0.052,-0.043
40131990,-49.49,2.73,-2.38,0.999,-0.042,-0.041
